time_ps,cv1_distance_A
1.339999961853027344e+01,3.436668634414672852e+00
1.343999958038330078e+01,3.443264245986938477e+00
1.347999954223632812e+01,3.477297544479370117e+00
1.351999950408935547e+01,3.395821809768676758e+00
1.355999946594238281e+01,3.399057865142822266e+00
1.359999942779541016e+01,3.455949068069458008e+00
1.363999938964843750e+01,3.500836849212646484e+00
1.367999935150146484e+01,3.389993906021118164e+00
1.371999931335449219e+01,3.496528625488281250e+00
1.375999927520751953e+01,3.394171714782714844e+00
1.379999923706054688e+01,3.411341667175292969e+00
1.384000015258789062e+01,3.441298484802246094e+00
1.388000011444091797e+01,3.376952171325683594e+00
1.392000007629394531e+01,3.441392421722412109e+00
1.396000003814697266e+01,3.416609764099121094e+00
1.400000000000000000e+01,3.422017812728881836e+00
1.403999996185302734e+01,3.433316946029663086e+00
1.407999992370605469e+01,3.444411754608154297e+00
1.411999988555908203e+01,3.370673656463623047e+00
1.415999984741210938e+01,3.374798774719238281e+00
1.419999980926513672e+01,3.376008272171020508e+00
1.423999977111816406e+01,3.469686985015869141e+00
1.427999973297119141e+01,3.423514366149902344e+00
1.431999969482421875e+01,3.506093025207519531e+00
1.435999965667724609e+01,3.341360330581665039e+00
1.439999961853027344e+01,3.418421030044555664e+00
1.443999958038330078e+01,3.413583278656005859e+00
1.447999954223632812e+01,3.479189872741699219e+00
1.451999950408935547e+01,3.329786300659179688e+00
1.455999946594238281e+01,3.444850683212280273e+00
1.459999942779541016e+01,3.453176736831665039e+00
1.463999938964843750e+01,3.394092321395874023e+00
1.467999935150146484e+01,3.472528457641601562e+00
1.471999931335449219e+01,3.442687034606933594e+00
1.475999927520751953e+01,3.411351680755615234e+00
1.479999923706054688e+01,3.509357929229736328e+00
1.483999919891357422e+01,3.315670490264892578e+00
1.488000011444091797e+01,3.451007604598999023e+00
1.492000007629394531e+01,3.423447370529174805e+00
1.496000003814697266e+01,3.369452714920043945e+00
1.500000000000000000e+01,3.500294923782348633e+00
1.503999996185302734e+01,3.361222028732299805e+00
1.507999992370605469e+01,3.475448608398437500e+00
1.511999988555908203e+01,3.346007108688354492e+00
1.515999984741210938e+01,3.427625894546508789e+00
1.519999980926513672e+01,3.390826940536499023e+00
1.523999977111816406e+01,3.429736137390136719e+00
1.527999973297119141e+01,3.508080244064331055e+00
1.531999969482421875e+01,3.390897512435913086e+00
